x,y,channel
257,215,left
256,215,left
255,215,left
254,215,left
253,215,left
252,215,left
251,215,left
250,215,left
249,215,left
248,215,left
247,215,left
246,215,left
245,215,left
244,215,left
243,215,left
242,215,left
241,215,left
240,215,left
239,215,left
238,215,left
237,215,left
236,215,left
235,215,left
234,215,left
233,215,left
232,215,left
231,215,left
230,215,left
229,215,left
228,215,left
227,215,left
226,215,left
225,215,left
224,215,left
223,215,left
222,215,left
208.6209118,216,left
203.1320377,217,left
198.9565628,218,left
195.4670017,219,left
192.4196011,220,left
189.6890112,221,left
187.2005747,222,left
184.905526,223,left
182.7699095,224,left
180.7689437,225,left
178.8838777,226,left
177.1001114,227,left
175.406009,228,left
173.7921168,229,left
172.2506281,230,left
170.7750061,231,left
169.3597112,232,left
168,233,left
166.6917728,234,left
165.4314575,235,left
164.2159191,236,left
163.0423881,237,left
161.9084032,238,left
160.8117658,239,left
159.750502,240,left
158.7228319,241,left
157.7271441,242,left
156.7619743,243,left
155.825987,244,left
154.9179607,245,left
154.0367746,246,left
153.1813979,247,left
152.3508794,248,left
151.5443402,249,left
150.7609658,250,left
150,251,left
149.2607396,252,left
148.5425293,253,left
147.8447574,254,left
147.1668523,255,left
146.5082786,256,left
145.8685348,257,left
145.2471499,258,left
144.6436816,259,left
144.0577137,260,left
143.4888543,261,left
142.9367342,262,left
142.401005,263,left
141.881338,264,left
141.3774225,265,left
140.888965,266,left
140.4156878,267,left
139.9573282,268,left
139.5136375,269,left
139.0843802,270,left
138.6693334,271,left
138.2682856,272,left
137.8810366,273,left
137.5073968,274,left
137.1471863,275,left
136.8002347,276,left
136.4663809,277,left
136.1454719,278,left
135.8373631,279,left
135.5419177,280,left
135.2590062,281,left
134.9885065,282,left
134.7303031,283,left
134.4842871,284,left
134.2503561,285,left
134.0284137,286,left
133.8183693,287,left
133.620138,288,left
133.4336407,289,left
133.2588033,290,left
133.0955569,291,left
132.9438379,292,left
132.8035875,293,left
132.6747516,294,left
132.5572809,295,left
132.4511307,296,left
132.3562607,297,left
132.2726352,298,left
132.2002227,299,left
132.1389962,300,left
132.0889328,301,left
132.0500139,302,left
132.022225,303,left
132.0055557,304,left
132,305,left
132.0055557,306,left
132.022225,307,left
132.0500139,308,left
132.0889328,309,left
132.1389962,310,left
132.2002227,311,left
132.2726352,312,left
132.3562607,313,left
132.4511307,314,left
132.5572809,315,left
132.6747516,316,left
132.8035875,317,left
132.9438379,318,left
133.0955569,319,left
133.2588033,320,left
133.4336407,321,left
133.620138,322,left
133.8183693,323,left
134.0284137,324,left
134.2503561,325,left
134.4842871,326,left
134.7303031,327,left
134.9885065,328,left
135.2590062,329,left
135.5419177,330,left
135.8373631,331,left
136.1454719,332,left
136.4663809,333,left
136.8002347,334,left
137.1471863,335,left
137.5073968,336,left
137.8810366,337,left
138.2682856,338,left
138.6693334,339,left
139.0843802,340,left
139.5136375,341,left
139.9573282,342,left
140.4156878,343,left
140.888965,344,left
141.3774225,345,left
141.881338,346,left
142.401005,347,left
142.9367342,348,left
143.4888543,349,left
144.0577137,350,left
144.6436816,351,left
145.2471499,352,left
145.8685348,353,left
146.5082786,354,left
147.1668523,355,left
147.8447574,356,left
148.5425293,357,left
149.2607396,358,left
150,359,left
150.7609658,360,left
151.5443402,361,left
152.3508794,362,left
153.1813979,363,left
154.0367746,364,left
154.9179607,365,left
155.825987,366,left
156.7619743,367,left
157.7271441,368,left
158.7228319,369,left
159.750502,370,left
160.8117658,371,left
161.9084032,372,left
163.0423881,373,left
164.2159191,374,left
165.4314575,375,left
166.6917728,376,left
168,377,left
169.3597112,378,left
170.7750061,379,left
172.2506281,380,left
173.7921168,381,left
175.406009,382,left
177.1001114,383,left
178.8838777,384,left
180.7689437,385,left
182.7699095,386,left
184.905526,387,left
187.2005747,388,left
189.6890112,389,left
192.4196011,390,left
195.4670017,391,left
198.9565628,392,left
203.1320377,393,left
208.6209118,394,left
222,395,left
223,395,left
224,395,left
225,395,left
226,395,left
227,395,left
228,395,left
229,395,left
230,395,left
231,395,left
232,395,left
233,395,left
234,395,left
235,395,left
236,395,left
237,395,left
238,395,left
239,395,left
240,395,left
241,395,left
242,395,left
243,395,left
244,395,left
245,395,left
246,395,left
247,395,left
248,395,left
249,395,left
250,395,left
251,395,left
252,395,left
253,395,left
254,395,left
255,395,left
256,395,left
257,395,left
258,395,left
259,395,left
260,395,left
261,395,left
262,395,left
263,395,left
264,395,left
265,395,left
266,395,left
267,395,left
268,395,left
269,395,left
270,395,left
271,395,left
272,395,left
273,395,left
274,395,left
275,395,left
276,395,left
277,395,left
278,395,left
279,395,left
280,395,left
281,395,left
282,395,left
283,395,left
284,395,left
285,395,left
286,395,left
287,395,left
288,395,left
289,395,left
290,395,left
291,395,left
292,395,left
293,395,left
294,395,left
295,395,left
296,395,left
297,395,left
298,395,left
299,395,left
300,395,left
301,395,left
302,395,left
303,395,left
304,395,left
305,395,left
306,395,left
307,395,left
308,395,left
309,395,left
310,395,left
311,395,left
312,395,left
313,395,left
314,395,left
315,395,left
316,395,left
317,395,left
318,395,left
319,395,left
320,395,left
321,395,left
322,395,left
323,395,left
324,395,left
325,395,left
326,395,left
327,395,left
328,395,left
329,395,left
330,395,left
330,396,outlet
330,397,outlet
330,398,outlet
330,399,outlet
330,400,outlet
330,401,outlet
330,402,outlet
330,403,outlet
330,404,outlet
330,405,outlet
330,406,outlet
330,407,outlet
330,408,outlet
330,409,outlet
330,410,outlet
330,411,outlet
330,412,outlet
330,413,outlet
330,414,outlet
330,415,outlet
330,416,outlet
330,417,outlet
330,418,outlet
330,419,outlet
330,420,outlet
330,421,outlet
330,422,outlet
330,423,outlet
330,424,outlet
330,425,outlet
330,426,outlet
330,427,outlet
330,428,outlet
330,429,outlet
330,430,outlet
330,431,outlet
330,432,outlet
330,433,outlet
330,434,outlet
330,435,outlet
330,436,outlet
330,437,outlet
330,438,outlet
330,439,outlet
330,440,outlet
330,441,outlet
330,442,outlet
330,443,outlet
330,444,outlet
330,445,outlet
330,446,outlet
330,447,outlet
330,448,outlet
330,449,outlet
330,450,outlet
330,451,outlet
330,452,outlet
330,453,outlet
330,454,outlet
330,455,outlet
330,456,outlet
330,457,outlet
330,458,outlet
330,459,outlet
330,460,outlet
330,461,outlet
330,462,outlet
330,463,outlet
330,464,outlet
330,465,outlet
330,466,outlet
330,467,outlet
330,468,outlet
330,469,outlet
330,470,outlet
330,471,outlet
330,472,outlet
330,473,outlet
330,474,outlet
330,475,outlet
330,476,outlet
330,477,outlet
330,478,outlet
330,479,outlet
330,480,outlet
330,481,outlet
330,482,outlet
330,483,outlet
330,484,outlet
330,485,outlet
330,486,outlet
330,487,outlet
330,488,outlet
330,489,outlet
330,490,outlet
330,491,outlet
330,492,outlet
330,493,outlet
330,494,outlet
330,495,outlet
330,496,outlet
330,497,outlet
330,498,outlet
330,499,outlet
330,500,outlet
330,501,outlet
330,502,outlet
330,503,outlet
330,504,outlet
330,505,outlet
330,506,outlet
330,507,outlet
330,508,outlet
330,509,outlet
330,510,outlet
330,511,outlet
330,512,outlet
330,513,outlet
330,514,outlet
330,515,outlet
330,516,outlet
330,517,outlet
330,518,outlet
330,519,outlet
330,520,outlet
330,521,outlet
330,522,outlet
330,523,outlet
330,524,outlet
330,525,outlet
330,526,outlet
330,527,outlet
330,528,outlet
330,529,outlet
330,530,outlet
330,531,outlet
330,532,outlet
330,533,outlet
330,534,outlet
330,535,outlet
330,536,outlet
330,537,outlet
330,538,outlet
330,539,outlet
330,540,outlet
330,541,outlet
330,542,outlet
330,543,outlet
330,544,outlet
330,545,outlet
330,546,outlet
330,547,outlet
330,548,outlet
330,549,outlet
330,550,outlet
330,551,outlet
330,552,outlet
330,553,outlet
330,554,outlet
330,555,outlet
330,556,outlet
330,557,outlet
330,558,outlet
330,559,outlet
330,560,outlet
330,561,outlet
330,562,outlet
330,563,outlet
330,564,outlet
330,565,outlet
330,566,outlet
330,567,outlet
330,568,outlet
330,569,outlet
330,570,outlet
330,571,outlet
330,572,outlet
330,573,outlet
330,574,outlet
330,575,outlet
330,576,outlet
330,577,outlet
330,578,outlet
330,579,outlet
330,580,outlet
330,581,outlet
330,582,outlet
330,583,outlet
330,584,outlet
330,585,outlet
330,586,outlet
330,587,outlet
330,588,outlet
330,589,outlet
330,590,outlet
